year,constructor_name,wins,races,win_rate
1950,Alfa Romeo,6,6,1.0
1950,Alta,0,1,0.0
1950,Deidt,0,1,0.0
1950,ERA,0,2,0.0
1950,Ewing,0,1,0.0
1950,Ferrari,0,4,0.0
1950,Kurtis Kraft,1,1,1.0
1950,Langley,0,1,0.0
1950,Lesovsky,0,1,0.0
1950,Marchese,0,1,0.0
1950,Maserati,0,6,0.0
1950,Moore,0,1,0.0
1950,Nichels,0,1,0.0
1950,Olson,0,1,0.0
1950,Rae,0,1,0.0
1950,Simca,0,1,0.0
1950,Stevens,0,1,0.0
1950,Talbot-Lago,0,6,0.0
1950,Wetteroth,0,1,0.0
1951,Alfa Romeo,5,7,0.7142857142857143
1951,BRM,0,1,0.0
1951,Deidt,0,1,0.0
1951,ERA,0,1,0.0
1951,Ferrari,3,7,0.42857142857142855
1951,HWM,0,1,0.0
1951,Kurtis Kraft,1,1,1.0
1951,Maserati,0,2,0.0
1951,Moore,0,1,0.0
1951,OSCA,0,1,0.0
1951,Schroeder,0,1,0.0
1951,Sherman,0,1,0.0
1951,Simca,0,3,0.0
1951,Talbot-Lago,0,7,0.0
1952,AFM,0,1,0.0
1952,Alta,0,1,0.0
1952,BMW,0,1,0.0
1952,Connaught,0,2,0.0
1952,Cooper,0,5,0.0
1952,Ferrari,7,7,1.0
1952,Frazer Nash,0,2,0.0
1952,Gordini,0,7,0.0
1952,HWM,0,5,0.0
1952,Kurtis Kraft,0,1,0.0
1952,Kuzma,1,1,1.0
1952,Lesovsky,0,1,0.0
1952,Maserati,0,5,0.0
1952,Sherman,0,1,0.0
1952,Simca,0,3,0.0
1952,Stevens,0,1,0.0
1952,Trevis,0,1,0.0
1952,Veritas,0,2,0.0
1952,Watson,0,1,0.0
1953,AFM,0,1,0.0
1953,BMW,0,1,0.0
1953,Connaught,0,5,0.0
1953,Cooper,0,6,0.0
1953,Ferrari,7,8,0.875
1953,Gordini,0,5,0.0
1953,HWM,0,5,0.0
1953,Kurtis Kraft,1,1,1.0
1953,Kuzma,0,1,0.0
1953,Maserati,1,8,0.125
1953,OSCA,0,2,0.0
1953,Schroeder,0,1,0.0
1953,Stevens,0,1,0.0
1953,Veritas,0,1,0.0
1954,Connaught,0,1,0.0
1954,Cooper,0,1,0.0
1954,Ferrari,2,8,0.25
1954,Gordini,0,6,0.0
1954,Kurtis Kraft,1,1,1.0
1954,Kuzma,0,1,0.0
1954,Maserati,2,8,0.25
1954,Mercedes,4,6,0.6666666666666666
1954,Pankratz,0,1,0.0
1954,Phillips,0,1,0.0
1954,Stevens,0,1,0.0
1954,Vanwall,0,1,0.0
1955,Epperly,0,1,0.0
1955,Ferrari,1,6,0.16666666666666666
1955,Gordini,0,3,0.0
1955,Kurtis Kraft,1,1,1.0
1955,Kuzma,0,1,0.0
1955,Lancia,0,1,0.0
1955,Maserati,0,6,0.0
1955,Mercedes,5,6,0.8333333333333334
1955,Trevis,0,1,0.0
1955,Vanwall,0,1,0.0
1956,Connaught,0,2,0.0
1956,Cooper,0,1,0.0
1956,Ferrari,6,7,0.8571428571428571
1956,Gordini,0,4,0.0
1956,Kurtis Kraft,0,1,0.0
1956,Kuzma,0,1,0.0
1956,Lesovsky,0,1,0.0
1956,Maserati,2,7,0.2857142857142857
1956,Phillips,0,1,0.0
1956,Stevens,0,1,0.0
1956,Vanwall,0,2,0.0
1956,Watson,1,1,1.0
1957,Connaught,0,1,0.0
1957,Cooper,0,5,0.0
1957,Epperly,1,1,1.0
1957,Ferrari,0,6,0.0
1957,Kurtis Kraft,0,1,0.0
1957,Kuzma,0,1,0.0
1957,Lesovsky,0,1,0.0
1957,Maserati,4,7,0.5714285714285714
1957,Phillips,0,1,0.0
1957,Porsche,0,1,0.0
1957,Vanwall,4,5,0.8
1958,BRM,0,6,0.0
1958,Cooper,2,10,0.2
1958,Epperly,1,1,1.0
1958,Ferrari,2,10,0.2
1958,Kurtis Kraft,0,1,0.0
1958,Kuzma,0,1,0.0
1958,Maserati,0,7,0.0
1958,Phillips,0,1,0.0
1958,Porsche,0,2,0.0
1958,Team Lotus,0,6,0.0
1958,Vanwall,6,8,0.75
1958,Watson,0,1,0.0
1959,Aston Martin,0,3,0.0
1959,BRM,1,6,0.16666666666666666
1959,Cooper-Borgward,0,1,0.0
1959,Cooper-Climax,5,8,0.625
1959,Cooper-Maserati,0,4,0.0
1959,Dunn,0,1,0.0
1959,Epperly,0,1,0.0
1959,Ferrari,2,7,0.2857142857142857
1959,Kurtis Kraft,0,1,0.0
1959,Kuzma,0,1,0.0
1959,Lesovsky,0,1,0.0
1959,Maserati,0,2,0.0
1959,Moore,0,1,0.0
1959,Porsche,0,2,0.0
1959,Team Lotus,0,3,0.0
1959,Watson,1,1,1.0
1960,Aston Martin,0,1,0.0
1960,BRM,0,5,0.0
1960,Behra-Porsche,0,2,0.0
1960,Christensen,0,1,0.0
1960,Cooper-Castellotti,0,3,0.0
1960,Cooper-Climax,6,9,0.6666666666666666
1960,Cooper-Maserati,0,4,0.0
1960,Epperly,0,1,0.0
1960,Ewing,0,1,0.0
1960,Ferrari,1,8,0.125
1960,JBW,0,1,0.0
1960,Kurtis Kraft,0,1,0.0
1960,Kuzma,0,1,0.0
1960,Lesovsky,0,1,0.0
1960,Maserati,0,2,0.0
1960,Meskowski,0,1,0.0
1960,Phillips,0,1,0.0
1960,Porsche,0,1,0.0
1960,Scarab,0,1,0.0
1960,Team Lotus,2,8,0.25
1960,Trevis,0,1,0.0
1960,Watson,1,1,1.0
1961,BRM,0,7,0.0
1961,Cooper-Climax,0,8,0.0
1961,Cooper-Maserati,0,4,0.0
1961,Ferrari,5,7,0.7142857142857143
1961,Gilby,0,1,0.0
1961,Lotus-Climax,3,8,0.375
1961,Porsche,0,8,0.0
1962,BRM,4,9,0.4444444444444444
1962,Brabham,0,2,0.0
1962,Cooper-Climax,1,8,0.125
1962,ENB,0,1,0.0
1962,Emeryson,0,1,0.0
1962,Ferrari,0,5,0.0
1962,Lola,0,5,0.0
