year,grid_finish_corr,rolling_corr_5y,rolling_corr_10y,era
1994,0.7364901498834163,,,Refuelling Era (1990–2009)
1995,0.729026067468807,,,Refuelling Era (1990–2009)
1996,0.739591128159335,0.7177172881779527,,Refuelling Era (1990–2009)
1997,0.647586669784035,0.7049895429009758,,Refuelling Era (1990–2009)
1998,0.7358924255941699,0.6906827857971578,,Refuelling Era (1990–2009)
1999,0.6728514234985319,0.674106193852754,0.6937877150301409,Refuelling Era (1990–2009)
2000,0.657492281949717,0.6747227099262951,0.6952041118888508,Refuelling Era (1990–2009)
2001,0.6567081684373166,0.6698581418823292,0.6834550477668572,Refuelling Era (1990–2009)
2002,0.6506692501517403,0.6854186808767257,0.6850467436528651,Refuelling Era (1990–2009)
2003,0.7115695853743399,0.6762273097365564,0.6999661366591915,Refuelling Era (1990–2009)
2004,0.7506541184705151,0.6959872934529763,0.692966211027657,Refuelling Era (1990–2009)
2005,0.6115354262488705,0.7252095633920879,0.6973327703829338,Refuelling Era (1990–2009)
2006,0.7555080870194152,0.7160742801729848,0.712046696736851,Refuelling Era (1990–2009)
2007,0.7967805998472984,0.7092468598891417,0.7314591781548616,Refuelling Era (1990–2009)
2008,0.6658931692788246,0.7478660837371455,0.742494506366241,Refuelling Era (1990–2009)
2009,0.7165170170513002,0.7669310628567472,0.7497924963106173,Refuelling Era (1990–2009)
2010,0.8046315454888888,0.7597794493403943,0.7526765356884892,Hybrid Era (2010–2021)
2011,0.8508329826174238,0.7835107124482498,0.7694629969503957,Hybrid Era (2010–2021)
2012,0.761022532265534,0.7961062114878367,0.7737790616619059,Hybrid Era (2010–2021)
2013,0.7845494848181025,0.791059910163646,0.7708405264559621,Hybrid Era (2010–2021)
2014,0.7794945122492342,0.7806270604670648,0.7841694988349466,Hybrid Era (2010–2021)
2015,0.7794000388679354,0.78190160357153,0.7861212864322542,Hybrid Era (2010–2021)
2016,0.7986687341345176,0.7848282852216435,0.7805823545353271,Hybrid Era (2010–2021)
2017,0.7673952477878605,0.7761363613766719,0.7713691705476876,Hybrid Era (2010–2021)
2018,0.7991828930686693,0.7701047989070082,0.7701310463096577,Hybrid Era (2010–2021)
2019,0.7360348930243764,0.7621112806283105,0.761481302380163,Hybrid Era (2010–2021)
2020,0.7492422265196175,0.7583604890477853,0.7638035206637579,Hybrid Era (2010–2021)
2021,0.7587011427410284,0.7381343195386826,0.751322359680047,Hybrid Era (2010–2021)
2022,0.7486412898852347,0.7514706799508442,,Ground Effect Era (2022–2025)
2023,0.6980520455231559,0.7325399204530858,,Ground Effect Era (2022–2025)
2024,0.8027166950851841,,,Ground Effect Era (2022–2025)
2025,0.654588429030826,,,Ground Effect Era (2022–2025)
